Book Title,Book Rating,Number of reviews
Things We Left Behind (Knockemout Book 3),4.7,18205
The Lost Bookshop: The most charming and uplifting novel of 2023 and the perfect gift for book lovers!,4.5,11063
Things We Never Got Over (Knockemout Book 1),4.5,151781
The Housemaid: An absolutely addictive psychological thriller with a jaw-dropping twist,4.5,186023
Haunting Adeline (Cat and Mouse Duet Book 1),4.4,58965
The Girl Who Was Taken: A Gripping Psychological Thriller,4.4,10128
Things We Hide from the Light (Knockemout Book 2),4.4,60615
The Locked Door: A gripping psychological thriller with a jaw-dropping twist,4.4,61938
The Housemaid&#39;s Secret: A totally gripping psychological thriller with a shocking twist,4.5,96235
The Starfish Sisters: A Novel,4.5,13884
The Wrong Bride: Ares and Raven&#39;s Story (The Windsors),4.4,27181
Never Lie: An addictive psychological thriller,4.4,85239
The Way I Hate Him,4.4,12518
The Ritual: A Dark College Romance,4.5,38865
Don&#39;t Forget to Write: A Novel,4.7,15790
Reminders of Him: A Novel,4.7,241821
The Serpent and the Wings of Night (Crowns of Nyaxia Book 1),4.6,46964
Hunting Adeline (Cat and Mouse Duet Book 2),4.5,48270
Divine Rivals: A Novel (Letters of Enchantment Book 1),4.4,13640
God of Malice: A Dark College Romance (Legacy of Gods Book 1),4.5,16844
Fourth Wing (The Empyrean Book 1),4.8,81691
The Deal (Off-Campus Book 1),4.5,67483
"Dante: A Dark Mafia, Enemies to Lovers Romance (Chicago Ruthless Book 1)",4.4,10248
Harry Potter and the Sorcerer&#39;s Stone,4.8,47121
My Dark Romeo: An Enemies-to-Lovers Romance (Dark Prince Road),4.4,22466
The Inmate: A gripping psychological thriller,4.4,75418
In the Likely Event,4.5,25056
The Ashes and the Star-Cursed King (Crowns of Nyaxia Book 2),4.5,27436
Maybe Someday,4.4,53387
The Wife Upstairs: A twisted psychological thriller that will keep you guessing,4.5,30934
The Summer I Turned Pretty,4.4,42911
Consider Me (Playing For Keeps Book 1),4.4,26871
Pucking Around: A Why Choose Hockey Romance (Jacksonville Rays Book 1),4.4,28983
Twisted Games: A Forbidden Royal Bodyguard Romance,4.4,46415
Say You Swear,4.7,34010
The Sacrifice: A Dark Revenge Romance,4.5,13807
Unravel Me (Playing For Keeps Book 3),4.6,13475
Say You Swear,4.7,34010
The Sacrifice: A Dark Revenge Romance,4.5,13807
Unravel Me (Playing For Keeps Book 3),4.6,13475
Say You Swear,4.7,34010
The Sacrifice: A Dark Revenge Romance,4.5,13807
Unravel Me (Playing For Keeps Book 3),4.6,13475
